<<<<<<< HEAD
DF 375,Iveco,Daily,2012,3,3,5,White,5.0t,3.0l,180hp,Automatic,Diesel,10000,4WD,100000,80l,True
AF 315,Volkswagen,Transporter,2011,3,3,5,Grey,4.0t,3.0l,180hp,Automatic,Diesel,15000,4WD,150000,70l,True
VO B36,Kia,Picanto,2012,1,5,5,Brown,2.0t,3.0l,100hp,Manual,Petrol,75000,2WD,80000,60l,TrueDGX48,Kia,Rio,2016,1,5,4,Grey,1200000,3.0,78,manual,diesel,10000,fwd,36000,40,True
DG X48,Kia,Rio,2016,1,5,4,Grey,1200000,3.0,78,manual,diesel,10000,fwd,36000,40,True
=======
DF375,Iveco,Daily,2012,3,3,5,White,5.0t,3.0l,180hp,Automatic,Diesel,10000,4WD,100000,80,True
AF315,Volkswagen,Transporter,2011,3,3,5,Grey,4.0t,3.0l,180hp,Automatic,Diesel,15000,4WD,150000,70,True
VOB36,Kia,Picanto,2012,1,5,5,Brown,2.0t,3.0l,100hp,Manual,Petrol,75000,FWD,8000,60,True
JB007,Toyota,Yaris,2012,1,4,3,Black,1t,5l,80HP,Automatic,Petrol,6000,FWD,10000,45,True
>>>>>>> 90781a6bd8d945d979beab3c38c72551e620994a
